,fan_in,fan_out,loc,cyclomatic_complexity,num_parameters,cluster,pca1,pca2
StreamUtil.touch,2,4,8,2,1,0,-0.3202274962161668,-0.42527225080820547
StreamUtil.isCygwin,1,2,4,1,0,0,-0.8622038409613021,-0.1332438478643798
StreamUtil.localizeBin,1,1,6,2,1,0,-0.4107019196548195,-0.4683515421571016
StreamUtil.getBoundAntProperty,2,2,12,4,2,2,0.4113091991952708,-0.791873992246986
StreamConsumer.run,16,267,13,4,0,1,2.0640414571731642,3.537080262575316
StreamXmlRecordReader.next,212,47,31,4,2,3,1.2945321886142833,1.3059074927607905
StreamXmlRecordReader.seekNextRecordBoundary,1,11,3,1,0,0,-0.8297012521198898,-0.00761461526556649
StreamXmlRecordReader.readUntilMatchBegin,2,2,7,2,0,0,-0.5408919555393598,-0.14638419025067126
StreamXmlRecordReader.readUntilMatchEnd,1,2,7,2,1,0,-0.36893187125707017,-0.4572945754941492
StreamXmlRecordReader.slowReadUntilMatch,2,15,73,14,3,4,4.962005324723581,-1.203127636344361
StreamXmlRecordReader.nextState,1,0,21,4,3,2,0.8774998180942265,-1.1536264967118335
StreamXmlRecordReader.makePatternCDataOrMark,0,4,7,1,1,0,-0.5723608752096807,-0.4246519530451767
StreamXmlRecordReader.addGroup,3,2,8,2,2,0,-0.1641078135432338,-0.748926399710407
StreamXmlRecordReader.fastReadUntilMatch,2,8,42,10,3,2,2.97028227984252,-1.1674382418939153
StreamXmlRecordReader.checkJobGet,0,1,7,2,1,0,-0.37586619790022424,-0.47825993351714047
TupleInputFormat.setPrimary,0,3,7,2,1,0,-0.3610116704523919,-0.4509226936647873
TupleInputFormat.addSecondary,0,2,6,2,1,0,-0.40278171885014125,-0.4619796603277398
TupleInputFormat.getRecordReader,7,28,6,1,4,2,0.08250155152972166,-0.9537571963160014
MultiRecordReader.next,212,47,3,1,2,3,-0.32339518769666015,1.4168401462113662
MultiRecordReader.getPos,36,4,3,1,0,0,-0.8989448960139771,0.15209087863971205
MultiRecordReader.close,348,64,2,1,0,3,-0.6414482264506216,3.251402013679718
MultiRecordReader.createKey,3,2,3,1,0,0,-0.8975324997966595,-0.11603871840752632
MultiRecordReader.createValue,4,2,3,1,0,0,-0.8980254368774216,-0.10874198031071163
UTF8ByteArrayUtils.findTab,2,0,8,3,1,0,-0.1311600826306265,-0.49254885120634573
UTF8ByteArrayUtils.splitKeyVal,3,6,12,3,4,2,0.5646831429320233,-1.3245279480453573
UTF8ByteArrayUtils.readLine,39,5,48,10,1,4,2.792884230322517,-0.346907417376319
TestStreamedMerge.addInput,4,5,7,1,2,0,-0.39543821260728557,-0.6854100278784044
TestStreamedMerge.createInputs,1,4,22,1,1,0,-0.057712042182945365,-0.45653001389672293
TestStreamedMerge.unt,5,2,3,1,2,0,-0.5555840795551289,-0.7086725365072233
TestStreamedMerge.i18n,4,1,6,1,1,0,-0.6309571993783109,-0.43385920717322357
TestStreamedMerge.lsr,2,5,11,2,0,0,-0.3812390256722786,-0.11582494352503774
TestStreamedMerge.printSampleInput,1,3,10,2,0,0,-0.429943400713182,-0.14784726821098157
TestStreamedMerge.callStreaming,1,9,26,2,2,2,0.5070390308147005,-0.7148492951588333
TestStreamedMerge.startSideEffectConsumer,1,5,22,1,1,0,-0.0502847784590292,-0.44286139397054625
TestStreamedMerge.testMain,1,13,32,5,0,0,1.056199904793924,-0.10642380282044693
TestStreamedMerge.doAllTestJobs,1,1,5,1,0,0,-0.8352883200113851,-0.1495241210537804
TestStreamedMerge.goSocketTagged,3,17,58,7,2,2,2.7583227184131913,-0.7374903674461311
TestStreamedMerge.main,3,187,4,1,1,1,0.6823212210031925,2.1064306675252538
SideEffectConsumer.connectInputStream,1,0,16,1,0,0,-0.46494495232313643,-0.19192092687542164
SideEffectConsumer.close,348,64,16,1,0,3,-0.1606492410169572,3.214838867994581
SideEffectConsumer.run,16,267,16,4,0,1,2.1670698111946636,3.529245302785644
TestStreaming.createInput,1,4,6,1,0,0,-0.7786637441658034,-0.11112991453847475
TestStreaming.testCommandLine,2,7,29,2,0,0,0.25178562590455067,-0.1354974624107176
TestStreaming.failTrace,2,3,5,1,1,0,-0.6494595824427875,-0.4185037902512758
TestStreaming.main,3,187,3,1,1,1,0.6479784363293593,2.1090423207884776
TestSymLink.testSymLink,0,17,61,6,0,0,2.3011191207927175,-0.147386126539487
TestSymLink.failTrace,2,3,5,1,1,0,-0.6494595824427875,-0.4185037902512758
TestSymLink.main,3,187,3,1,1,1,0.6479784363293593,2.1090423207884776
TrApp.testParentJobConfToEnvVars,1,2,29,1,0,0,-0.0036342241154729785,-0.19853517944498125
TrApp.expect,10,2,7,2,2,0,-0.20190115778240178,-0.69523757976948
TrApp.expectDefined,5,1,7,2,1,0,-0.37833088330403486,-0.44177624303306695
TrApp.go,6,11,10,2,0,0,-0.3729899763256632,-0.0020146183174953726
TrApp.main,3,187,6,1,1,1,0.7510067903508587,2.1012073609988056
TrApp.CUnescape,2,1,7,2,1,0,-0.3768520720617485,-0.46366645732351114
UniqApp.go,6,11,11,3,0,0,-0.11987072317062511,-0.017228392274153386
UniqApp.main,3,187,5,1,1,1,0.7166640056770256,2.10381901426203
UtilTest.checkUserDir,0,1,7,2,0,0,-0.5473333451017517,-0.17464628637047722
UtilTest.redirectIfAntJunit,0,4,10,2,0,0,-0.4220231999085037,-0.1414753863816197
ExampleDriver.main,3,187,18,2,1,1,1.3818966749180617,2.057265401146683
Grep.main,3,187,47,3,1,1,2.5966138989404284,1.9689253358197518
